"C","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
0.1,0.758624478136673,0.62027027027027,0.737049941927991,0.0520821616812333,0.126443455373801,0.0664542744506789,"L2_Linear_SVM"
0.12,0.759098471293593,0.603753753753754,0.741811846689896,0.0518153955358754,0.123169349704887,0.0630483929654688,"L2_Linear_SVM"
0.13,0.758041665358739,0.603603603603604,0.770383275261324,0.0516454840276051,0.109414034247668,0.0570623612710131,"L2_Linear_SVM"
0.14,0.758434566971152,0.614714714714715,0.7465737514518,0.0518067353943716,0.119751687222848,0.0613252516334397,"L2_Linear_SVM"
0.15,0.758807064904626,0.631231231231231,0.741695702671312,0.0527690088004806,0.128733943791605,0.0564156942527288,"L2_Linear_SVM"
0.16,0.758021261679798,0.598198198198198,0.7465737514518,0.0527554157604194,0.115477082480464,0.0719584605727179,"L2_Linear_SVM"
0.2,0.756165050067489,0.631231231231231,0.746341463414634,0.0545731287398093,0.158027594008818,0.0646289546101075,"L2_Linear_SVM"
0.3,0.753509432777725,0.609009009009009,0.751219512195122,0.0541236974920307,0.140234131214564,0.0641670739104823,"L2_Linear_SVM"
1,0.753509432777725,0.614564564564565,0.736701509872242,0.0541236974920307,0.14359921081245,0.0680280809472216,"L2_Linear_SVM"
0.1,0.714565610907074,0.576276276276276,0.712891986062718,0.0201196394683033,0.0384044049784028,0.0171218896099708,"L2_Linear_SVM"
0.12,0.713109102133492,0.598048048048048,0.722299651567944,0.0194478051297402,0.0498432916558734,0.0295665809483431,"L2_Linear_SVM"
0.13,0.713102300907179,0.598048048048048,0.722299651567944,0.0184308389649305,0.0372647747640179,0.0295665809483431,"L2_Linear_SVM"
0.14,0.714037207939647,0.570570570570571,0.736701509872242,0.0172915776966587,0.0360985443848988,0.025682013727661,"L2_Linear_SVM"
0.15,0.714037207939647,0.592642642642643,0.726945412311266,0.0163942021621067,0.051740835429938,0.0430368052402794,"L2_Linear_SVM"
0.16,0.713129505812433,0.598198198198198,0.717421602787456,0.0148460977252664,0.0589384765181842,0.041913751800872,"L2_Linear_SVM"
0.2,0.710962007303471,0.564714714714715,0.73205574912892,0.0132652810273871,0.0757112683827453,0.0390328581598628,"L2_Linear_SVM"
0.3,0.71294691904448,0.598198198198198,0.703135888501742,0.012064701828872,0.0589384765181842,0.0418972543627528,"L2_Linear_SVM"
1,0.71294691904448,0.592792792792793,0.712659698025552,0.012064701828872,0.0542039962396083,0.036613929818707,"L2_Linear_SVM"
0.1,0.708537021341899,0.55975975975976,0.722067363530778,0.0348982286869238,0.044369305854032,0.0769630510319891,"L2_Linear_SVM"
0.12,0.707222291978389,0.55960960960961,0.707665505226481,0.036699808000384,0.0536027624196916,0.0751865460661728,"L2_Linear_SVM"
0.13,0.705769445403592,0.565015015015015,0.707665505226481,0.0384683847260658,0.0559185850090171,0.0770484485332369,"L2_Linear_SVM"
0.14,0.704976666562032,0.543243243243243,0.71718931475029,0.0407709922956424,0.0664776966283721,0.086011291827772,"L2_Linear_SVM"
0.15,0.704972219606366,0.55945945945946,0.702903600464576,0.0426108673355131,0.0672967545837229,0.0715589963423312,"L2_Linear_SVM"
0.16,0.704314418948565,0.57012012012012,0.71718931475029,0.0443969858694042,0.0959370164135071,0.0754802096563948,"L2_Linear_SVM"
0.2,0.702614897127092,0.586336336336336,0.712427409988386,0.0467703630361151,0.113894109876943,0.0706743749227645,"L2_Linear_SVM"
0.3,0.702710550271526,0.575525525525525,0.71718931475029,0.0482960489445085,0.0926555395698333,0.0754802096563948,"L2_Linear_SVM"
1,0.702710550271526,0.580930930930931,0.71718931475029,0.0482960489445085,0.0928633462597382,0.0754802096563948,"L2_Linear_SVM"
0.1,0.760278222473344,0.614414414414414,0.77061556329849,0.0349060176082867,0.0495085825730958,0.069757754807755,"L2_Linear_SVM"
0.12,0.760928524343158,0.614864864864865,0.765505226480836,0.0360678760582261,0.0938678647935798,0.0544831826382591,"L2_Linear_SVM"
0.13,0.761992131504327,0.609159159159159,0.756213704994193,0.0368322160789535,0.0678331450679094,0.060669826713823,"L2_Linear_SVM"
0.14,0.761985330278013,0.609309309309309,0.775261324041812,0.0371482061860576,0.0841939436757966,0.0566998159808763,"L2_Linear_SVM"
0.15,0.764180033692229,0.625525525525526,0.760975609756098,0.0360920133165222,0.072458921744568,0.0686461752164952,"L2_Linear_SVM"
0.16,0.762953720270793,0.576726726726727,0.784785133565621,0.0337070848414357,0.110169187445833,0.0648128893302344,"L2_Linear_SVM"
0.2,0.760765818082891,0.631081081081081,0.760975609756098,0.0360469792340763,0.0751793570037899,0.0686461752164952,"L2_Linear_SVM"
0.3,0.761043622019232,0.625525525525526,0.760975609756098,0.037108454609214,0.0819220099864788,0.0686461752164952,"L2_Linear_SVM"
1,0.761450126084272,0.62012012012012,0.770499419279907,0.037806031851815,0.0831267900040025,0.059052980527491,"L2_Linear_SVM"
0.1,0.740388559290998,0.565165165165165,0.765505226480836,0.0622674823353468,0.0606725525762151,0.0460225711400339,"L2_Linear_SVM"
0.12,0.738483605556776,0.549099099099099,0.770267131242741,0.0576214128890522,0.0633919992790859,0.0497196115998525,"L2_Linear_SVM"
0.13,0.740070035191986,0.549099099099099,0.770267131242741,0.053900858598991,0.0540634376239631,0.0436479822397772,"L2_Linear_SVM"
